Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,"EL408
R009
F036","AR403
R009
F039","AR402
R009
F039",—,"EL402
R009
F035",—,"AR401
R009
F038"
TUE,"AR402
R009
F039","AR402
R009
F039","EL402
R009
F035","AR403
R009
F039","EL402
R009
F035","AR403
R008
F039","EL408
R009
F036"
WED,"AR401
R009
F038","INT302
R009
F005","EL404
R009
F022","INT302
R009
F005",—,—,—
THU,"SKL401
R009
F006","EL401
R009
F033","EL401
R009
F033","EL401
R009
F033","EL408
R009
F036","EL404
R009
F022","EL404
R009
F022"
FRI,—,"SKL401
R009
F006",—,"EL403
R012
F036","AR401
R009
F038","EL403
R009
F036","EL403
R009
F036"
