Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,"MAT101
R001
F003",—,—,—,"MAT101
R001
F003","CHE101
R001
F038","MAT101
R002
F003"
TUE,"PROG101
CL003
F002",—,"PROG101
CL001
F002","PROG101
CL001
F002","PROG101
CL001
F002","CHE101
R007
F038",—
WED,"PHYLAB101
PL001
F009","PHYLAB101
PL001
F009",—,"COM101
R010
F027","ENG101
W002
F003","PHY101
R008
F028",—
THU,—,"PHY101
R012
F028",—,—,"CHE101
R012
F038",—,—
FRI,"COM101
R012
F027","MAT101
R003
F003",—,—,—,"PHY101
R008
F028",—
