Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,AI402 R012 F027,AI403 R008 F040,—,—,EL404 R005 F028,EL403 R005 F008,EL401 R005 F028
TUE,INT302 R007 F018,AI403 R009 F040,EL404 R005 F028,EL402 R005 F039,AI401 R012 F040,SKL401 R012 F005,EL401 R005 F028
WED,EL403 R005 F008,—,EL405 R005 F007,EL401 R005 F028,AI402 R010 F027,AI403 R008 F040,INT302 R005 F018
THU,AI401 R006 F040,—,EL402 R005 F039,—,—,EL403 R005 F008,EL405 R005 F007
FRI,SKL401 R003 F005,EL405 R005 F007,EL402 R005 F039,AI402 R006 F027,—,EL404 R005 F028,AI401 R007 F040
