Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,AR403 R005 F039,INT302 R006 F018,AR402 R008 F040,—,EL404 R009 F019,EL403 R006 F010,EL401 R009 F033
TUE,—,AR403 R004 F039,EL404 R009 F019,EL402 R009 F040,SKL401 R007 F006,AR401 R004 F040,EL401 R009 F033
WED,EL403 R009 F010,AR402 R011 F040,AR401 R004 F040,EL401 R009 F033,EL408 R009 F034,—,AR403 R004 F039
THU,—,INT302 R012 F018,EL402 R009 F040,SKL401 R011 F006,AR401 R008 F040,EL403 R009 F010,EL408 R009 F034
FRI,AR402 R007 F040,—,EL402 R009 F040,—,EL408 R009 F034,EL404 R009 F019,—
