Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,EL402 R009 F001,EL401 R010 F030,AI302 R006 F018,—,EL403 R009 F009,AI301 R006 F034,EL404 R012 F013
TUE,AI301 R002 F034,—,AI304 CL005 F029,AI304 CL005 F029,AI302 R006 F018,EL403 R002 F009,INT301 R012 F039
WED,EL402 R003 F001,AI301 R009 F034,AI302 R001 F018,AI303 R012 F030,SKL301 R003 F028,EL403 R006 F009,—
THU,AI302 R010 F018,AI303 R006 F030,—,EL402 R009 F001,—,EL404 R011 F013,EL401 R010 F030
FRI,EL404 R004 F013,INT301 R003 F039,EL401 R010 F030,AI303 R006 F030,—,AI301 R008 F034,SKL301 R002 F028
