Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,MAT101 R006 F003,—,PHYLAB101 PL001 F009,PHYLAB101 PL001 F009,—,CHE101 R004 F024,PHY101 R006 F039
TUE,ENG101 W002 F003,ENG101 W002 F003,—,—,—,PROG101 CL001 F001,COM101 R009 F029
WED,—,—,MAT101 R006 F003,—,—,COM101 R002 F029,PROG101 CL006 F001
THU,—,—,—,PROG101 CL001 F001,CHE101 R006 F024,PHY101 R002 F039,MAT101 R004 F003
FRI,—,—,PHY101 R001 F039,MAT101 R004 F003,CHE101 R007 F024,PROG101 CL001 F001,—
