Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,—,SKL401 R004 F038,CSE403 R010 F029,—,EL401 R009 F033,EL403 R008 F008,EL405 R008 F007
TUE,EL401 R004 F033,CSE401 R006 F009,EL404 R008 F020,—,CSE402 R012 F002,EL403 R002 F008,EL406 R004 F014
WED,EL404 R010 F020,EL405 R007 F007,INT302 R007 F005,EL406 R003 F014,EL402 R004 F002,CSE401 R012 F009,EL401 R011 F033
THU,EL405 R002 F007,—,EL402 R008 F002,SKL401 R011 F038,CSE402 R011 F002,CSE403 R010 F029,CSE401 R003 F009
FRI,EL402 R002 F002,INT302 R001 F005,EL406 R004 F014,EL404 R003 F020,CSE403 R002 F029,CSE402 R012 F002,EL403 R010 F008
