Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,INT301 R011 F002,EL401 R009 F026,EL402 R012 F010,—,ECE303 R012 F013,EL403 R008 F001,ECE302 R005 F014
TUE,ECE302 R006 F014,EL403 R001 F001,SKL301 R009 F033,ECE301 R006 F021,EL402 R005 F010,ECE303 R009 F013,EL401 R011 F026
WED,EL404 R011 F020,ECE301 R011 F021,ECE304 EL001 F020,ECE304 EL001 F020,EL403 R002 F001,ECE302 R008 F014,ECE303 R007 F013
THU,ECE301 R011 F021,EL404 R010 F020,EL401 R005 F026,ECE302 R004 F014,SKL301 R011 F033,—,EL402 R007 F010
FRI,—,—,—,—,ECE301 R010 F021,EL404 R009 F020,INT301 R012 F002
