Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,SKL401 R006 F013,ECE401 R011 F024,EL407 R002 F015,—,EL404 R001 F020,EL403 R002 F011,EL401 R002 F029
TUE,ECE401 R006 F024,—,EL404 R001 F020,EL402 R002 F005,—,—,EL401 R002 F029
WED,EL403 R002 F011,—,ECE403 R006 F020,EL401 R002 F029,—,INT302 R003 F005,ECE402 R007 F036
THU,INT302 R011 F005,—,EL402 R002 F005,ECE403 R006 F020,ECE402 R012 F036,EL403 R002 F011,EL407 R001 F015
FRI,SKL401 R011 F013,EL407 R003 F015,EL402 R002 F005,ECE403 R003 F020,ECE402 R006 F036,EL404 R001 F020,ECE401 R008 F024
