Day/Period,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,14:00-15:00,15:00-16:00,16:00-17:00
MON,CHE101 R010 F024,PROG101 CL002 F006,—,—,—,COM101 R001 F039,—
TUE,—,ENG101 W001 F038,ENG101 W001 F038,PHY101 R006 F024,PROG101 CL003 F006,MAT101 R004 F009,CHE101 R010 F024
WED,CHE101 R006 F024,PHY101 R006 F024,—,MAT101 R006 F009,—,—,COM101 R001 F039
THU,—,—,—,MAT101 R007 F009,PHYLAB101 PL001 F025,PHYLAB101 PL001 F025,PROG101 CL003 F006
FRI,PROG101 CL001 F006,MAT101 R010 F009,—,—,—,PHY101 R005 F024,—
